DATE,ALL,FOOTWEAR,APPAREL,APPAREL_LESS_FOOTWEAR,APPAREL_MEN_BOYS,APPAREL_WOMEN_GIRLS,PETFOOD,FOOD_AT_HOME,FRUITS_VEGETABLES,POTATOE,COFFEE,CANDY_GUM,,category,code / notes,
2018-01-01,100,100,100,100,100,100,100,100,100,100,100,100,,ALL items,CPIAUCNS,Consumer Price Index for All Urban Consumers: All Items in U.S. City Average (CPIAUCNS)
2018-02-01,100.45347,102.12468,103.5341,103.92683,100.02554,100.85919,100.20086,99.72191,99.2342,100.82192,99.61838,99.83513,,,,
2018-03-01,100.68061,105.24331,105.18378,105.16652,100.02894,100.61074,100.26626,99.70607,98.61695,99.58904,100.38775,100.14503,,Footwear,CUUR0000SEAE,
2018-04-01,101.08082,105.139,105.80619,105.9924,101.20286,101.69217,100.60792,99.8695,98.87991,99.72603,99.22451,98.77473,,Apparel,CPIAPPNS,
2018-05-01,101.50121,103.94779,104.98585,105.27473,100.6342,102.56311,100.6246,99.59559,98.75947,101.23288,99.3323,99.2803,,Apparel less footwear,CUUR0000SA311,Consumer Price Index for All Urban Consumers: Apparel Less Footwear in U.S. City Average (CUUR0000SA311)
2018-06-01,101.66299,102.31062,102.54854,102.61442,100.4682,100.96308,100.75606,99.66396,99.32186,101.91781,98.91901,99.28851,,apparel: men & boys,CUSR0000SAA1_NBD20180101,
2018-07-01,101.66985,102.64017,100.46211,99.85543,100.46735,99.35855,100.65196,99.87951,100.09602,104.79452,99.35273,98.34989,,apparel: women & girls,CUSR0000SAA2_NBD20180101,
2018-08-01,101.72633,102.85332,100.14804,99.39314,97.88882,97.45406,100.30096,99.9754,100.08096,105.20548,99.32259,98.57155,,,,
2018-09-01,101.84454,103.3552,104.23176,104.47655,100.44437,99.27001,100.56388,100.04711,100.1472,102.73973,99.47074,99.88165,,Petfood,CUUR0000SS61031_NBD20180101,
2018-10-01,102.02447,103.71725,105.596,106.11966,102.93351,99.0071,100.70802,99.87659,99.67314,102.19178,99.50855,100,,,,
2018-11-01,101.68276,102.19271,102.18295,102.17984,101.56551,98.51201,100.686,100.15551,99.63734,99.31507,99.47789,100.92289,,Food at home,CUSR0000SAF11_NBD20180101,
2018-12-01,101.35799,100.50264,98.57687,98.04005,101.04622,97.33119,100.76541,100.53491,101.095,98.35616,99.99438,100.86405,,potatoe,"Average Price: Potatoes, White (Cost per Pound/453.6 Grams) in U.S. City Average (APU0000712112)",
2019-01-01,101.55124,102.34539,100.12759,99.50915,100.64187,97.56247,101.24654,100.7071,101.07593,102.60274,99.3231,101.34567,,Fruits and vegetables,CUSR0000SAF113_NBD20180101,
