State,State Name,NAICS,NAICS Description,Enterprise Size,Establishments 2018,Establishments 2019,Establishments 2020,Establishments 2021 ,Employment 2018,Employment 2019,Employment 2020,Employment 2021,2018-2019 Establishments percent change,2019-2020 Establishments percent change,2018-2019 Employment percent change,2019-2020 Employment percent change,2018 population,2019 population,2020 population,,2020 population w 2020 base,2021 population with 2020 base,,2018 employment/population,2019 employment/population,2020 employment/population,,2020 employment/population w 2020 base,2021 employment/population,,2018-2019 employment/population percent change,2019-2020 employment/population percent change,2020-2021 employment/population percent change,,2018-2021 establishments percent change,2019-2021 establishments percent change,,Enterprise Size < 500,Enterprise size <500 employees: Establishments 2018,Enterprise size <500 employees: Establishments 2019,Enterprise size <500 employees: Employment 2018,Enterprise size <500 employees: Employment 2019,Enterprise size <500 employees: 2018 employment/population,Enterprise size <500 employees: 2019 employment/population,Enterprise size <500 employees: 2018-2019 employment/population percent change,Enterprise Size < 20,Enterprise size <20 employees: Establishments 2018,Enterprise size <20 employees: Establishments 2019,Enterprise size <20 employees: Employment 2018,Enterprise size <20 employees: Employment 2019,Enterprise size <20 employees: 2018 employment/population,Enterprise size <20 employees: 2019 employment/population,Enterprise size <20 employees: 2018-2019 employment/population percent change
00,United States,451211,Book Stores,01: Total,"6,143","6,045","5,733","5,591","66,723","61,068","59,547","44,072",-0.01595311737,-0.05161290323,-0.09260168992,-0.02554284851,"326,838,199","328,329,953","329,484,123",,"331,511,512","332,031,554",,0.0002041468843,0.0001859958235,0.00018072798,,0.0001796227215,0.0001327343726,,-0.08891176976,-0.02832237527,-0.2610379607,,-0.08985837539,-0.07510339123,,08: <500 employees,"2,922","2,870","19,605","19,076",0.00005998380869,0.00005810009055,-0.03140377671,05: <20 employees,"2,377","2,359","10,282","10,298",0.00003145899112,0.00003136478992,-0.002994412645
01,Alabama,451211,Book Stores,01: Total,107,106,94,86,983,842,840,701,-0.009345794393,-0.1132075472,-0.1674584323,-0.002380952381,"4,891,628","4,907,965","4,921,532",,"5,031,362","5,049,846",,0.0002009555919,0.0001715578656,0.0001706785611,,0.0001669528052,0.0001388161144,,-0.1462896652,-0.005125410971,-0.168530806,,-0.1962616822,-0.1886792453,,08: <500 employees,28,29,173,150,0.00003536654872,0.00003056256514,-0.1358341077,05: <20 employees,27,28,141,115,0.00002882475936,0.00002343129994,-0.1871120365
02,Alaska,451211,Book Stores,01: Total,27,23,27,24,175,139,160,128,-0.1481481481,0.1739130435,-0.2589928058,0.13125,"736,624","733,603","731,158",,"732,923","734,182",,0.0002375703208,0.0001894757791,0.0002188309504,,0.0002183039692,0.0001743436913,,-0.2024433924,0.1549283574,-0.2013718669,,-0.1111111111,0.04347826087,,08: <500 employees,24,20,82,59,0.0001113186646,0.000080424971,-0.2775248313,05: <20 employees,14,9,58,37,0.00007873759204,0.00005043599876,-0.3594419457
04,Arizona,451211,Book Stores,01: Total,124,123,121,112,"1,314","1,253","1,244",880,-0.008064516129,-0.0162601626,-0.04868316042,-0.007234726688,"7,164,228","7,291,843","7,421,401",,"7,179,943","7,264,877",,0.0001834112482,0.0001718358445,0.0001676233369,,0.0001732604284,0.00012113075,,-0.06311174376,-0.0245147201,-0.3008746938,,-0.09677419355,-0.08943089431,,08: <500 employees,72,71,382,375,0.00005332046942,0.00005142732777,-0.03550496972,05: <20 employees,39,40,192,179,0.00002679981709,0.00002454797779,-0.08402442805
05,Arkansas,451211,Book Stores,01: Total,89,86,76,75,693,689,616,510,-0.03370786517,-0.1162790698,-0.005805515239,-0.1185064935,"3,012,161","3,020,985","3,030,522",,"3,014,195","3,028,122",,0.0002300673835,0.0002280713079,0.000203265312,,0.0002043663399,0.0001684212195,,-0.008676047937,-0.1087642109,-0.1758857181,,-0.1573033708,-0.1279069767,,08: <500 employees,25,25,110,112,0.0000365186323,0.0000370740007,0.01520780925,05: <20 employees,24,24,71,78,0.00002357111721,0.00002581939334,0.09538267145
06,California,451211,Book Stores,01: Total,605,605,602,568,"8,134","7,763","7,205","4,749",0,-0.004958677686,-0.04779080252,-0.0774462179,"39,437,463","39,437,610","39,368,078",,"39,501,653","39,142,991",,0.0002062505897,0.0001968425571,0.0001830163007,,0.0001823974303,0.0001213244026,,-0.04561457289,-0.07024017913,-0.3348349129,,-0.06115702479,-0.06115702479,,08: <500 employees,368,362,"2,365","2,354",0.00005996836054,0.00005968921545,-0.00465487286,05: <20 employees,293,288,"1,233","1,259",0.0000312646886,0.00003192384123,0.02108297421
08,Colorado,451211,Book Stores,01: Total,113,111,112,111,"1,211","1,181","1,141",848,-0.01769911504,0.009009009009,-0.02540220152,-0.03505696757,"5,697,155","5,758,486","5,807,719",,"5,784,865","5,811,297",,0.000212562235,0.0002050886292,0.0001964626732,,0.0001972388293,0.0001459226744,,-0.03515961248,-0.04205965012,-0.2601726802,,-0.01769911504,0,,08: <500 employees,74,73,575,529,0.0001009275682,0.00009186442409,-0.08979849912,05: <20 employees,54,53,274,246,0.00004809418034,0.00004271956205,-0.1117519469
09,Connecticut,451211,Book Stores,01: Total,79,78,68,69,"1,064",930,951,743,-0.01265822785,-0.1282051282,-0.1440860215,0.02208201893,"3,574,561","3,566,022","3,557,006",,"3,597,362","3,623,355",,0.0002976589293,0.0002607948016,0.000267359684,,0.0002643603841,0.0002050585714,,-0.1238468733,0.02517259668,-0.2243218585,,-0.1265822785,-0.1153846154,,08: <500 employees,25,27,240,244,0.00006714111187,0.00006842358236,0.01910112071,05: <20 employees,20,23,109,113,0.00003049325498,0.00003168797052,0.03917966587
10,Delaware,451211,Book Stores,01: Total,18,18,19,18,211,210,210,142,0,0.05555555556,-0.004761904762,0,"966,985","976,668","986,809",,"992,114","1,004,807",,0.0002182040052,0.0002150167713,0.000212807139,,0.0002116692235,0.0001413206715,,-0.01460667013,-0.01027655808,-0.332351349,,0,0,,08: <500 employees,8,8,41,43,0.0000423998304,0.00004402724365,0.03838254146,05: <20 employees,8,8,41,43,0.0000423998304,0.00004402724365,0.03838254146
11,District of Columbia,451211,Book Stores,01: Total,27,28,26,27,473,443,359,311,0.03703703704,-0.07142857143,-0.06772009029,-0.2339832869,"704,147","708,253","712,816",,"670,868","668,791",,0.0006717347372,0.0006254827018,0.000503636282,,0.0005351276257,0.0004650182194,,-0.06885461305,-0.1948038202,-0.1310143653,,0,-0.03571428571,,08: <500 employees,16,18,245,311,0.0003479387117,0.0004391086236,0.262028653,05: <20 employees,13,14,52,65,0.00007384821635,0.00009177511426,0.2427532958
