State,State Name,NAICS,NAICS Description,Enterprise Size,Establishments 2018,Establishments 2019,Establishments 2020,Establishments 2021,Employment 2018,Employment 2019,Employment 2020,Employment 2021,,2018 population,2019 population,2020 population,,2020 population w 2020 base,2021 population with 2020 base,,2018 employment/population,2019 employment/population,,2018-2019 employment/population percent change,,2018-2021 establishments percent change,2019-2021 establishments percent change
00,United States,445110,Supermarkets and Other Grocery (except Convenience) Stores,01: Total,"64,132","62,932","62,268","62,329","2,624,959","2,648,459","2,695,503","2,833,797",,"326,838,199","328,329,953","329,484,123",,"331,511,512","332,031,554",,0.008031371511,0.008066455636,,0.004368385388,,-0.0281138901,-0.0095817708
01,Alabama,445110,Supermarkets and Other Grocery (except Convenience) Stores,01: Total,755,736,726,753,"30,438","30,305","30,927","33,050",,"4,891,628","4,907,965","4,921,532",,"5,031,362","5,049,846",,0.006222468266,0.00617465691,,-0.007683664168,,-0.002649006623,0.02309782609
02,Alaska,445110,Supermarkets and Other Grocery (except Convenience) Stores,01: Total,214,219,211,212,"6,481","6,115","6,066","6,464",,"736,624","733,603","731,158",,"732,923","734,182",,0.008798247138,0.008335571147,,-0.05258729202,,-0.009345794393,-0.03196347032
04,Arizona,445110,Supermarkets and Other Grocery (except Convenience) Stores,01: Total,779,772,770,776,"48,892","48,975","47,367","54,859",,"7,164,228","7,291,843","7,421,401",,"7,179,943","7,264,877",,0.006824461756,0.006716409007,,-0.01583315339,,-0.003851091142,0.00518134715
05,Arkansas,445110,Supermarkets and Other Grocery (except Convenience) Stores,01: Total,488,477,480,471,"17,578","17,211","17,226","18,463",,"3,012,161","3,020,985","3,030,522",,"3,014,195","3,028,122",,0.005835677442,0.005697148447,,-0.02373828865,,-0.03483606557,-0.01257861635
06,California,445110,Supermarkets and Other Grocery (except Convenience) Stores,01: Total,"7,720","7,733","7,804","7,901","301,490","302,114","305,351","329,020",,"39,437,463","39,437,610","39,368,078",,"39,501,653","39,142,991",,0.00764476153,0.007660555495,,0.002065985268,,0.02344559585,0.02172507436
08,Colorado,445110,Supermarkets and Other Grocery (except Convenience) Stores,01: Total,778,776,765,767,"43,826","44,297","43,502","48,402",,"5,697,155","5,758,486","5,807,719",,"5,784,865","5,811,297",,0.007692611488,0.007692473334,,-0.00001795924921,,-0.01413881748,-0.01159793814
09,Connecticut,445110,Supermarkets and Other Grocery (except Convenience) Stores,01: Total,814,798,786,770,"37,881","37,692","38,561","38,370",,"3,574,561","3,566,022","3,557,006",,"3,597,362","3,623,355",,0.01059738525,0.01056976093,,-0.00260671079,,-0.05405405405,-0.0350877193
10,Delaware,445110,Supermarkets and Other Grocery (except Convenience) Stores,01: Total,171,171,170,186,"7,220","7,114","7,282","8,047",,"966,985","976,668","986,809",,"992,114","1,004,807",,0.007466506719,0.0072839491,,-0.02445020487,,0.08771929825,0.08771929825
11,District of Columbia,445110,Supermarkets and Other Grocery (except Convenience) Stores,01: Total,179,168,175,169,"5,016","4,962","6,218","6,208",,"704,147","708,253","712,816",,"670,868","668,791",,0.007123512562,0.00700597103,,-0.0165005018,,-0.05586592179,0.005952380952
