State,State Name,NAICS,NAICS Description,Enterprise Size,Establishments 2018,Establishments 2019,Establishments 2020,Establishments 2021,Employment 2018,Employment 2019,Employment 2020,Employment 2021,2018-2019 Establishments percent change,2019-2020 Establishments percent change,2018-2019 Employment percent change,2019-2020 Employment percent change,2018 population,2019 population,2020 population,,2020 population w 2020 base,2021 population with 2020 base,,2018 employment/population,2019 employment/population,2020 employment/population,,2020 employment/population w 2020 base,2021 employment/population w 2020 base,2018-2019 employment/population percent change,2019-2020 employment/population percent change,2020-2021 employment/population percent change
00,United States,453910,Pet and Pet Supplies Stores,01: Total,"10,109","10,085","9,960","9,684","119,535","121,978","125,078","115,234",-0.002374122069,-0.01239464551,0.02002820181,0.02478453445,"326,838,199","328,329,953","329,484,123",,"331,511,512","332,031,554",,0.0003657314242,0.0003715104238,0.0003796176849,,0.0003772960982,0.0003470573764,0.01580121169,0.02182243238,-0.08014586428
01,Alabama,453910,Pet and Pet Supplies Stores,01: Total,95,96,95,97,"1,268","1,277","1,344","1,206",0.01052631579,-0.01041666667,0.007047768207,0.04985119048,"4,891,628","4,907,965","4,921,532",,"5,031,362","5,049,846",,0.0002592184034,0.0002601893045,0.0002730856977,,0.0002671244884,0.000238819164,0.003745494741,0.04956542391,-0.1059630457
02,Alaska,453910,Pet and Pet Supplies Stores,01: Total,19,18,20,21,273,287,290,292,-0.05263157895,0.1111111111,0.0487804878,0.01034482759,"736,624","733,603","731,158",,"732,923","734,182",,0.0003706097005,0.0003912197742,0.0003966310975,,0.0003956759441,0.0003977215459,0.05561126351,0.01383192695,0.005169891634
04,Arizona,453910,Pet and Pet Supplies Stores,01: Total,197,204,201,205,"3,274","3,360","3,096","2,890",0.03553299492,-0.01470588235,0.0255952381,-0.08527131783,"7,164,228","7,291,843","7,421,401",,"7,179,943","7,264,877",,0.0004569927144,0.0004607888568,0.000417171906,,0.0004312011948,0.000397804395,0.008306789871,-0.0946571303,-0.07745061967
05,Arkansas,453910,Pet and Pet Supplies Stores,01: Total,53,53,53,55,504,526,609,588,0,0,0.04182509506,0.1362889984,"3,012,161","3,020,985","3,030,522",,"3,014,195","3,028,122",,0.0001673217335,0.0001741153961,0.000200955479,,0.0002020439952,0.0001941797589,0.04060239235,0.1541511171,-0.03892338506
06,California,453910,Pet and Pet Supplies Stores,01: Total,"1,223","1,195","1,196","1,163","15,173","15,186","15,527","14,433",-0.02289452167,0.0008368200837,0.0008560516265,0.02196174406,"39,437,463","39,437,610","39,368,078",,"39,501,653","39,142,991",,0.0003847357017,0.0003850639022,0.0003944058432,,0.0003930721583,0.0003687250164,0.0008530544788,0.02426075511,-0.06194064199
08,Colorado,453910,Pet and Pet Supplies Stores,01: Total,260,247,264,276,"3,090","3,131","3,267","3,060",-0.05,0.06882591093,0.01309485787,0.04162840526,"5,697,155","5,758,486","5,807,719",,"5,784,865","5,811,297",,0.0005423759754,0.000543719304,0.0005625272159,,0.0005647495663,0.000526560594,0.002476748015,0.03459121609,-0.06762107426
09,Connecticut,453910,Pet and Pet Supplies Stores,01: Total,166,160,154,126,"1,761","1,804","1,797","1,420",-0.03614457831,-0.0375,0.02383592018,-0.003895381191,"3,574,561","3,566,022","3,557,006",,"3,597,362","3,623,355",,0.0004926479084,0.0005058858302,0.0005052001599,,0.0004995327131,0.0003919019803,0.02687095917,-0.001355385454,-0.2154628315
10,Delaware,453910,Pet and Pet Supplies Stores,01: Total,55,58,58,50,509,513,528,483,0.05454545455,0,0.007797270955,0.02840909091,"966,985","976,668","986,809",,"992,114","1,004,807",,0.0005263783823,0.0005252552556,0.0005350579494,,0.0005321969048,0.0004806893264,-0.002133686916,0.01866272385,-0.09678293489
11,District of Columbia,453910,Pet and Pet Supplies Stores,01: Total,17,13,13,13,142,121,122,101,-0.2352941176,0,-0.173553719,0.008196721311,"704,147","708,253","712,816",,"670,868","668,791",,0.000201662437,0.000170842905,0.0001711521627,,0.0001818539564,0.0001510187787,-0.1528273308,0.001810187452,-0.1695601147
