State,State Name,NAICS,NAICS Description,Enterprise Size,Establishments 2018,Establishments 2019,Establishments 2020,Establishments 2021,Employment 2018,Employment 2019,Employment 2020,Employment 2021,,2018 population,2019 population,2020 population,,2020 population w 2020 base,2021 population with 2020 base,,2018 employment/population,2019 employment/population,,2018-2019 employment/population percent change,,2018-2021 establishments percent change,2019-2021 establishments percent change
00,United States,446110,Pharmacies and Drug Stores,01: Total,"44,358","44,902","44,357","43,879","690,167","675,766","666,597","663,384",,"326,838,199","328,329,953","329,484,123",,"331,511,512","332,031,554",,0.002111647299,0.002058191748,,-0.02531462063,,-0.01079850309,-0.02278294953
01,Alabama,446110,Pharmacies and Drug Stores,01: Total,993,"1,005","1,001",956,"13,527","13,726","13,447","13,460",,"4,891,628","4,907,965","4,921,532",,"5,031,362","5,049,846",,0.002765337021,0.00279667846,,0.01133367812,,-0.03726082578,-0.04875621891
02,Alaska,446110,Pharmacies and Drug Stores,01: Total,40,41,41,39,771,622,622,591,,"736,624","733,603","731,158",,"732,923","734,182",,0.001046666956,0.0008478700332,,-0.1899333134,,-0.025,-0.0487804878
04,Arizona,446110,Pharmacies and Drug Stores,01: Total,588,588,557,557,"11,721","12,057","11,774","12,554",,"7,164,228","7,291,843","7,421,401",,"7,179,943","7,264,877",,0.001636045084,0.001653491442,,0.01066373941,,-0.05272108844,-0.05272108844
05,Arkansas,446110,Pharmacies and Drug Stores,01: Total,520,541,534,482,"6,006","6,026","6,084","6,248",,"3,012,161","3,020,985","3,030,522",,"3,014,195","3,028,122",,0.001993917324,0.001994713645,,0.0003993750914,,-0.07307692308,-0.1090573013
06,California,446110,Pharmacies and Drug Stores,01: Total,"4,488","4,409","4,396","4,389","69,124","63,094","62,770","62,100",,"39,437,463","39,437,610","39,368,078",,"39,501,653","39,142,991",,0.001752749663,0.001599843398,,-0.08723793729,,-0.02205882353,-0.004536176004
08,Colorado,446110,Pharmacies and Drug Stores,01: Total,406,417,401,394,"7,582","7,463","7,155","7,222",,"5,697,155","5,758,486","5,807,719",,"5,784,865","5,811,297",,0.001330839691,0.001296000372,,-0.0261784488,,-0.02955665025,-0.0551558753
09,Connecticut,446110,Pharmacies and Drug Stores,01: Total,527,517,501,492,"9,860","9,411","9,316","9,035",,"3,574,561","3,566,022","3,557,006",,"3,597,362","3,623,355",,0.002758380679,0.002639075138,,-0.04325202205,,-0.06641366224,-0.04835589942
10,Delaware,446110,Pharmacies and Drug Stores,01: Total,166,165,167,170,"2,950","2,647","2,679","2,717",,"966,985","976,668","986,809",,"992,114","1,004,807",,0.003050719504,0.002710235208,,-0.111607867,,0.02409638554,0.0303030303
11,District of Columbia,446110,Pharmacies and Drug Stores,01: Total,119,121,118,119,"2,030","1,951","1,919","1,884",,"704,147","708,253","712,816",,"670,868","668,791",,0.002882920754,0.002754665353,,-0.04448800785,,0,-0.01652892562
