SEX,AGE,POPESTIMATE2022
0,0,3683113
0,1,3588817
0,2,3693362
0,3,3742836
0,4,3830225
0,5,3907298
0,6,4008898
0,7,4043729
0,8,4031341
0,9,4017929
0,10,4024547
0,11,4068564
0,12,4152811
0,13,4240884
0,14,4403033
0,15,4396566
0,16,4325808
0,17,4291066
0,18,4326642
0,19,4295710
0,20,4438006
0,21,4723644
0,22,4663473
0,23,4483807
0,24,4396849
0,25,4346308
0,26,4351553
0,27,4419629
0,28,4503844
0,29,4571830
0,30,4672812
0,31,4739263
0,32,4751526
0,33,4614523
0,34,4530012
0,35,4476550
0,36,4483170
0,37,4478749
0,38,4383099
0,39,4446381
0,40,4438786
0,41,4375219
0,42,4356125
0,43,4175926
0,44,4081360
0,45,4029138
0,46,3891868
0,47,3935451
0,48,3859402
0,49,3908239
0,50,4094089
0,51,4334593
0,52,4265282
0,53,4102135
0,54,4011448
0,55,4021403
0,56,4075771
0,57,4228510
0,58,4322714
0,59,4318616
0,60,4327473
0,61,4313536
0,62,4231279
0,63,4144198
0,64,4101937
0,65,4020640
0,66,3833262
0,67,3737326
0,68,3598472
0,69,3441722
0,70,3305273
0,71,3141497
0,72,2988811
0,73,2898395
0,74,2823041
0,75,2959404
0,76,2083434
0,77,1986144
0,78,1915774
0,79,1916244
0,80,1623833
0,81,1441506
0,82,1303339
0,83,1193273
0,84,1097594
0,85,962356
0,86,870823
0,87,798679
0,88,672727
0,89,601746
0,90,524576
0,91,450431
0,92,380133
0,93,304906
0,94,248895
0,95,194667
0,96,145421
0,97,109622
0,98,78028
0,99,53870
0,100,88988
0,999,333287557
1,0,1882867
1,1,1834594
1,2,1888149
1,3,1911373
1,4,1958112
1,5,1999653
1,6,2048936
1,7,2065602
1,8,2064359
1,9,2053396
1,10,2059922
1,11,2087189
1,12,2127260
1,13,2171725
1,14,2255757
1,15,2253101
1,16,2214662
1,17,2197612
1,18,2216084
1,19,2200584
1,20,2258683
1,21,2405533
1,22,2384589
1,23,2297375
1,24,2255808
1,25,2227227
1,26,2229098
1,27,2260402
1,28,2301832
1,29,2334183
1,30,2378345
1,31,2406868
1,32,2410880
1,33,2342421
1,34,2298306
1,35,2275255
1,36,2279725
1,37,2274047
1,38,2221480
1,39,2251793
1,40,2245861
1,41,2212461
1,42,2201177
1,43,2103878
1,44,2054512
1,45,2022952
1,46,1954487
1,47,1975285
1,48,1935301
1,49,1956964
1,50,2053180
1,51,2178352
1,52,2141727
1,53,2055311
1,54,2006071
1,55,2002636
1,56,2025685
1,57,2089903
1,58,2132414
1,59,2123285
1,60,2123424
1,61,2110242
1,62,2065836
1,63,2012947
1,64,1985531
1,65,1936851
1,66,1833694
1,67,1779401
1,68,1703295
1,69,1620660
1,70,1550197
1,71,1461923
1,72,1385218
1,73,1337885
1,74,1301548
1,75,1370943
1,76,944972
1,77,892694
1,78,853900
1,79,847177
1,80,708405
1,81,619177
1,82,550678
1,83,498171
1,84,448728
1,85,385810
1,86,342021
1,87,301529
1,88,247556
1,89,216093
1,90,181862
1,91,151126
1,92,122548
1,93,94186
1,94,73000
1,95,54267
1,96,38560
1,97,27374
1,98,18465
1,99,12345
1,100,17085
1,999,165283553
2,0,1800246
2,1,1754223
2,2,1805213
2,3,1831463
2,4,1872113
2,5,1907645
2,6,1959962
2,7,1978127
2,8,1966982
2,9,1964533
2,10,1964625
2,11,1981375
2,12,2025551
2,13,2069159
2,14,2147276
2,15,2143465
2,16,2111146
2,17,2093454
2,18,2110558
2,19,2095126
2,20,2179323
2,21,2318111
2,22,2278884
2,23,2186432
2,24,2141041
2,25,2119081
2,26,2122455
2,27,2159227
2,28,2202012
2,29,2237647
2,30,2294467
2,31,2332395
2,32,2340646
2,33,2272102
2,34,2231706
2,35,2201295
2,36,2203445
2,37,2204702
2,38,2161619
2,39,2194588
2,40,2192925
2,41,2162758
2,42,2154948
2,43,2072048
2,44,2026848
2,45,2006186
2,46,1937381
2,47,1960166
2,48,1924101
2,49,1951275
2,50,2040909
2,51,2156241
2,52,2123555
2,53,2046824
2,54,2005377
2,55,2018767
2,56,2050086
2,57,2138607
2,58,2190300
2,59,2195331
2,60,2204049
2,61,2203294
2,62,2165443
2,63,2131251
2,64,2116406
2,65,2083789
2,66,1999568
2,67,1957925
2,68,1895177
2,69,1821062
2,70,1755076
2,71,1679574
2,72,1603593
2,73,1560510
2,74,1521493
2,75,1588461
2,76,1138462
2,77,1093450
2,78,1061874
2,79,1069067
2,80,915428
2,81,822329
2,82,752661
2,83,695102
2,84,648866
2,85,576546
2,86,528802
2,87,497150
2,88,425171
2,89,385653
2,90,342714
2,91,299305
2,92,257585
2,93,210720
2,94,175895
2,95,140400
2,96,106861
2,97,82248
2,98,59563
2,99,41525
2,100,71903
2,999,168004004
