PASS_PRESCREEN,FAILED_ATTN_CHECK,RecordedDate,Q-requirements-1,Q-requirements-2,Q-attn-check-1,Q-prolific-mturk,Q-mturk-account,Q-attn-check-2,Duration (in seconds),ResponseId,version,Q-followup-study,connect,Age,Sex,Ethnicity simplified,Country of birth,Nationality,Student status,Employment status
,true,2022-11-01 14:49:05,Yes,Yes,Yes,,,,19,R_V4kBfIAJNlFM7Kh,v1,,,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
,,2022-11-01 14:50:03,Yes,No,,,,,10,R_1FmFw7Ov1Cu784g,v1,,,35,Male,White,United States,United States,Yes,DATA_EXPIRED
true,,2022-11-01 14:51:21,Yes,Yes,No,No,,No,28,R_2VDWJck9MB1JQTu,v1,,,28,Male,Other,United States,United States,No,Full-Time
true,,2022-11-01 14:56:22,Yes,Yes,No,No,,No,40,R_1KjzYKSvN7WQLpC,v1,,,27,Male,White,United States,United States,DATA_EXPIRED,DATA_EXPIRED
true,,2022-11-01 14:56:37,Yes,Yes,No,No,,No,31,R_d6hE7K1UyaipFSN,v1,,,35,Male,White,United States,United States,DATA_EXPIRED,DATA_EXPIRED
true,,2022-11-01 14:57:03,Yes,Yes,No,Yes,No,No,41,R_2Bu4iAteEtjmMyl,v1,,,20,Female,White,United States,United States,DATA_EXPIRED,DATA_EXPIRED
true,,2022-11-01 14:58:23,Yes,Yes,No,No,,No,38,R_1FlfeHeWzwyFwLk,v1,,,23,Female,White,United States,United States,No,Due to start a new job within the next month
true,,2022-11-01 14:58:37,Yes,Yes,No,No,,No,37,R_25uQtp7vKqoxFq3,v1,,,27,Male,Black,DATA_EXPIRED,United States,DATA_EXPIRED,DATA_EXPIRED
true,,2022-11-01 14:58:59,Yes,Yes,No,No,,No,47,R_3EL6tSjfBRa78SZ,v1,,,39,Male,Black,United States,United States,No,Unemployed (and job seeking)
true,,2022-11-07 20:27:18,Yes,Yes,No,No,,No,32,R_22Kx9LIjBiNdOep,v1,,,23,Male,Asian,United States,United States,DATA_EXPIRED,DATA_EXPIRED
true,,2022-11-07 20:27:21,Yes,Yes,No,No,,No,35,R_bkktoOWGH90BpzH,v1,,,52,Female,White,United States,United States,DATA_EXPIRED,DATA_EXPIRED
true,,2022-11-07 20:33:38,Yes,Yes,No,Yes,No,No,29,R_QagrOyzJtJhcxG1,v1,,,28,Female,White,United States,United States,DATA_EXPIRED,DATA_EXPIRED
true,,2022-11-07 20:34:08,Yes,Yes,No,No,,No,53,R_qO5h62mVqwZu7XX,v1,,,33,Male,Asian,United States,United States,No,Full-Time
true,,2022-11-07 20:34:10,Yes,Yes,No,No,,No,31,R_3nVFlzFoj3ySq8s,v1,,,37,Male,White,United States,United States,No,DATA_EXPIRED
true,,2022-11-07 20:34:14,Yes,Yes,No,No,,No,32,R_3lStU8hdulsSImq,v1,,,33,Male,White,United States,United States,DATA_EXPIRED,Full-Time
,,2022-11-07 20:34:41,No,,,,,,21,R_2dGQHafKNL6RQFQ,v1,,,34,Male,Mixed,United States,United States,No,Unemployed (and job seeking)
true,,2022-11-07 20:35:23,Yes,Yes,No,No,,No,116,R_1GPk94YovykSge3,v1,,,26,Male,White,United States,United States,DATA_EXPIRED,DATA_EXPIRED
true,,2022-11-07 20:36:14,Yes,Yes,No,No,,No,45,R_2UhJGV2b5oeQO93,v1,,,22,Male,White,United States,United States,Yes,Unemployed (and job seeking)
true,,2022-11-07 20:38:09,Yes,Yes,No,No,,No,83,R_UhaEk7AaZlxa8cp,v1,,,71,Female,White,United States,United States,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
,,2022-11-08 09:06:07,Yes,No,,,,,12,R_2VO0OrEynBU0Z62,v1,,,20,Male,White,United States,United States,Yes,Other
true,,2022-11-08 09:06:18,Yes,Yes,No,No,,No,31,R_AG1E1cfSXr2r0R3,v1,,,20,Female,White,United States,United States,DATA_EXPIRED,DATA_EXPIRED
true,,2022-11-08 09:08:07,Yes,Yes,No,Yes,No,No,69,R_eG3YcfgmvoLsVbz,v1,,,31,Female,Black,United States,United States,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
true,,2022-11-08 09:08:34,Yes,Yes,No,No,,No,44,R_3dFHjcNQ4vXzjDg,v1,,,60,Male,White,United States,United States,DATA_EXPIRED,"Not in paid work (e.g. homemaker', 'retired or disabled)"
true,,2022-11-08 09:09:04,Yes,Yes,No,No,,No,34,R_3oFmxiYxLKO1Y3X,v1,,,36,Female,White,United States,United States,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
true,,2022-11-08 09:09:24,Yes,Yes,No,Yes,Yes,No,26,R_2tg7SdbowQV8XnL,v1,,,30,Male,White,United States,United States,No,Full-Time
true,,2022-11-08 09:09:40,Yes,Yes,No,No,,No,33,R_3ixJS8ejCCHvepm,v1,,,33,Male,White,United States,United States,No,Full-Time
true,,2022-11-08 09:10:26,Yes,Yes,No,No,,No,37,R_3Eonoiez69UbwGZ,v1,,,29,Female,White,United States,United States,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)"
true,,2022-11-08 09:10:44,Yes,Yes,No,No,,No,47,R_2bH7D6MeTcBQqWy,v1,,,51,Male,White,United States,United States,No,Full-Time
true,,2022-11-08 09:12:47,Yes,Yes,No,No,,No,42,R_um6lGZVcP04QGTD,v1,,,39,Male,White,United States,United States,No,Part-Time
true,,2022-11-08 09:13:32,Yes,Yes,No,No,,No,42,R_2WOkTAXmLASST5x,v1,,,28,Male,White,United States,United States,Yes,Other
true,,2022-11-08 09:13:53,Yes,Yes,No,No,,No,29,R_USAAIFzk5U1eJVv,v1,,,31,Female,White,United States,United States,No,Full-Time
true,,2022-11-08 09:14:28,Yes,Yes,No,No,,No,39,R_3mf1mrn1S1LTmhW,v1,,,21,Male,Mixed,United States,United States,Yes,Other
true,,2022-11-08 09:14:54,Yes,Yes,No,No,,No,88,R_1GxWDXIkTED4yE4,v1,,,46,Male,White,United States,United States,DATA_EXPIRED,DATA_EXPIRED
true,,2022-11-08 09:14:59,Yes,Yes,No,Yes,No,No,51,R_30nMejRBa15pj8j,v1,,,44,Male,White,United States,United States,DATA_EXPIRED,DATA_EXPIRED
true,,2022-11-08 09:15:23,Yes,Yes,No,No,,No,26,R_2uQK1R4mJlBDWee,v1,,,20,Female,White,United States,United States,Yes,Part-Time
true,,2022-11-08 09:17:16,Yes,Yes,No,No,,No,33,R_2fqFZUhOSrlSolC,v1,,,25,Female,White,United States,United States,No,DATA_EXPIRED
true,,2022-11-08 09:17:31,Yes,Yes,No,No,,No,41,R_3oZzpdkjeKHZ2kh,v1,,,32,Male,White,United States,United States,No,Full-Time
true,,2022-11-08 09:18:02,Yes,Yes,No,No,,No,24,R_3CJn3cLfWkEZ6fD,v1,,,24,Female,White,United States,United States,Yes,Full-Time
true,,2022-11-08 09:18:11,Yes,Yes,No,Yes,No,No,62,R_bvIHYF6zT6cEIAp,v1,,,39,Female,White,United States,United States,DATA_EXPIRED,DATA_EXPIRED
true,,2022-11-08 09:18:58,Yes,Yes,No,No,,No,36,R_Zmh0mAjszReqtwt,v1,,,42,Female,White,United States,United States,DATA_EXPIRED,DATA_EXPIRED
true,,2022-11-08 09:19:21,Yes,Yes,No,No,,No,45,R_3fB6Mg54cCtSDuR,v1,,,40,Female,White,United States,United States,No,DATA_EXPIRED
,,2022-11-08 09:20:37,Yes,No,,,,,13,R_1mfplf652ML71iQ,v1,,,32,Female,Asian,Pakistan,United States,DATA_EXPIRED,DATA_EXPIRED
true,,2022-11-08 09:20:48,Yes,Yes,No,Yes,No,No,48,R_1n9I1PmeZWvhowm,v1,,,31,Male,White,United States,United States,No,Full-Time
true,,2022-11-08 09:21:57,Yes,Yes,No,No,,No,30,R_2Y3SW8ykPFdsHrH,v1,,,21,Female,White,United States,United States,DATA_EXPIRED,DATA_EXPIRED
true,,2022-11-08 09:22:30,Yes,Yes,No,No,,No,49,R_5ckNX0u8gDkRS81,v1,,,48,Female,White,United States,United States,No,Part-Time
true,,2022-11-08 09:23:10,Yes,Yes,No,Yes,No,No,54,R_2dFO3lT3EzBR14k,v1,,,38,Male,White,United States,United States,Yes,Full-Time
true,,2022-11-08 09:23:48,Yes,Yes,No,Yes,No,No,47,R_2th7MEqea1u83Ak,v1,,,40,Male,Asian,United States,United States,No,Full-Time
true,,2022-11-08 09:24:06,Yes,Yes,No,No,,No,56,R_Xzioijebtp0u3MB,v1,,,28,Female,White,United States,United States,DATA_EXPIRED,DATA_EXPIRED
true,,2022-11-08 09:25:15,Yes,Yes,No,No,,No,42,R_2xDVw9AxSZrWKsF,v1,,,28,Male,White,United States,United States,DATA_EXPIRED,DATA_EXPIRED
true,,2022-11-08 09:25:22,Yes,Yes,No,Yes,No,No,28,R_2qy18SwnXZxRtVH,v1,,,21,Male,White,United States,United States,Yes,Other
true,,2022-11-08 09:25:23,Yes,Yes,No,No,,No,44,R_2CCzwvUXTYwyLh4,v1,,,34,Female,Mixed,United States,United States,No,DATA_EXPIRED
true,,2022-11-08 09:25:30,Yes,Yes,No,No,,No,43,R_1JJCCS817D3Duvj,v1,,,51,Male,White,United States,United States,DATA_EXPIRED,DATA_EXPIRED
,,2022-11-08 09:25:59,Yes,No,,,,,22,R_1iealk3LNWe4xVS,v1,,,57,Male,Black,DATA_EXPIRED,United States,DATA_EXPIRED,DATA_EXPIRED
true,,2022-11-08 09:25:59,Yes,Yes,No,Yes,Yes,No,53,R_RDgmyJ4EwzeOaL7,v1,,,61,Female,White,United States,United States,DATA_EXPIRED,DATA_EXPIRED
true,,2022-11-08 09:26:17,Yes,Yes,No,Yes,No,No,64,R_QmDsWHtTOqpbKbD,v1,,,47,Female,White,United States,United States,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
true,,2022-11-08 09:26:30,Yes,Yes,No,No,,No,30,R_12FqnesMmo5sIcm,v1,,,23,Female,White,United States,United States,DATA_EXPIRED,DATA_EXPIRED
true,,2022-11-08 09:27:26,Yes,Yes,No,No,,No,61,R_2aCD2kmU0cwTrCp,v1,,,26,Male,Black,United States,United States,No,DATA_EXPIRED
