Duration (in seconds),RecordedDate,ResponseId,Q-prolific-mturk,q-demos-age,Q-demos-hispanic,Q-demos-race,Q-demos-education,Q-demos-income,Q-demos-gender,Q-sexual-orientation,Q-demos-state,Q-amazon-use-howmany,Q-amazon-use-hh-size,Q-amazon-use-how-oft,Q-substance-use_1,Q-substance-use_2,Q-substance-use_3,Q-personal_1,Q-personal_2,Q-life-changes,Q-control,Q-altruism,Q-bonus-05,Q-bonus-20,Q-bonus-50,Q-data-value-05,Q-data-value-20,Q-data-value-50,Q-data-value-100,Q-data-value-any,Q-data-value-any_1_TEXT,Q-sell-YOUR-data,Q-sell-consumer-data,Q-small-biz-use,Q-census-use,Q-research-society,Q-attn-check,showdata,incentive,connect
332,9/21/2022 10:00:17,R_1ou69fj4DQGsVcp,,35 - 44 years,No,Black or African American,High school diploma or GED,"$25,000 - $49,999",Female,heterosexual (straight),Iowa,2,2,Less than 5 times per month,Yes,No,Yes,No,No,Lost a job ,,,,,Consent to share  (receive $0.50 bonus),,,,,,,No,No,No,No,No,"Yes,No,I don't know",false,bonus-50,
488,9/21/2022 10:02:24,R_24dboHVOzohx1kw,,25 - 34 years,No,White or Caucasian,Bachelor's degree,"$25,000 - $49,999",Male,heterosexual (straight),Florida,1 (just me!),1 (just me!),Less than 5 times per month,No,No,No,No,No,,,,Decline,,,,No,No,Yes,,,Yes if I get part of the profit,Yes,No,Yes,Yes,"Yes,No,I don't know",false,bonus-05,
309,9/21/2022 10:10:47,R_2UbJL30HRjK1sdD,,45 - 54 years,No,White or Caucasian,High school diploma or GED,"$100,000 - $149,999",Male,heterosexual (straight),Ohio,2,4+,Less than 5 times per month,No,No,No,No,No,,,,Consent to share (receive $0.05 bonus),,,,,,,,,No,No,No,No,Yes,"Yes,No,I don't know",false,bonus-05,
339,9/21/2022 10:13:03,R_UPXamGKtmf4RVIZ,,25 - 34 years,No,White or Caucasian,High school diploma or GED,"$25,000 - $49,999",Male,heterosexual (straight),Arkansas,1 (just me!),2,Less than 5 times per month,No,No,No,Yes,No,,,,,,Consent to share  (receive $0.50 bonus),,,,,,,No,No,No,No,Yes,"Yes,No,I don't know",false,bonus-50,
674,9/21/2022 11:36:51,R_2dYk5auG9Fv5Qve,,35 - 44 years,Yes,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS, etc)","$50,000 - $74,999",Male,heterosexual (straight),Tennessee,1 (just me!),1 (just me!),Less than 5 times per month,No,No,No,No,No,,Consent to share,,,,,,,,,,,No,No,No,No,No,"Yes,No,I don't know",true,control,
243,9/21/2022 14:07:35,R_2aP0GyIR66gSTiR,,25 - 34 years,No,White or Caucasian,High school diploma or GED,"$50,000 - $74,999",Male,heterosexual (straight),Virginia,2,3,Less than 5 times per month,No,No,Yes,No,No,,,,,,Consent to share  (receive $0.50 bonus),,,,,,,No,Yes if consumers get part of the profit,I don't know,No,No,"Yes,No,I don't know",false,bonus-50,
493,9/21/2022 14:08:14,R_3HiRrH77MQBmCfY,,55 - 64 years,No,White or Caucasian,Bachelor's degree,"Less than $25,000",Male,heterosexual (straight),South Dakota,1 (just me!),1 (just me!),Less than 5 times per month,I stopped in the recent past,No,No,No,No,,,Consent to share,,,,,,,,,,Yes if I get part of the profit,Yes if consumers get part of the profit,I don't know,Yes,Yes,"Yes,No,I don't know",false,altruism,
555,9/21/2022 18:28:55,R_1Y4dGwaFnIeeNeF,,35 - 44 years,No,White or Caucasian,Bachelor's degree,"Less than $25,000",Male,heterosexual (straight),Pennsylvania,1 (just me!),3,Less than 5 times per month,No,No,No,No,No,,,,,Consent to share (receive $0.20 bonus),,,,,,,,Yes if I get part of the profit,Yes if consumers get part of the profit,Yes,I don't know,Yes,"Yes,No,I don't know",true,bonus-20,
404,9/21/2022 18:31:36,R_1lxV9jvYh3HSM6r,,45 - 54 years,No,"White or Caucasian,Black or African American",Bachelor's degree,"$75,000 - $99,999",Female,heterosexual (straight),Kansas,1 (just me!),1 (just me!),Less than 5 times per month,No,No,No,No,No,,Decline,,,,,No,No,No,No,More than $1.00 (enter amount),1000.00,No,No,No,No,No,"Yes,No,I don't know",false,control,
959,9/21/2022 18:42:41,R_A5sbkTmUYGXhO3n,,35 - 44 years,No,Asian,High school diploma or GED,"$25,000 - $49,999",Female,LGBTQ+,South Carolina,2,2,More than 10 times per month,No,No,No,No,No,,Consent to share,,,,,,,,,,,Yes if I get part of the profit,Yes if consumers get part of the profit,No,Yes,No,"Yes,No,I don't know",true,control,
479,9/21/2022 19:19:08,R_3n304Lxf3cu05CK,,45 - 54 years,No,White or Caucasian,High school diploma or GED,"$25,000 - $49,999",Male,heterosexual (straight),North Carolina,2,2,Less than 5 times per month,No,No,Yes,Yes,Yes,,,,,,Decline,,,,No,More than $1.00 (enter amount),10,Yes if I get part of the profit,Yes if consumers get part of the profit,No,No,I don't know,"Yes,No,I don't know",false,bonus-50,
608,9/21/2022 20:07:52,R_cSYS6Hd74hMsYFz,,25 - 34 years,Yes,Other,Bachelor's degree,"$100,000 - $149,999",Female,heterosexual (straight),Texas,2,2,Less than 5 times per month,No,Yes,No,No,No,,,Consent to share,,,,,,,,,,Yes if I get part of the profit,Yes if consumers get part of the profit,Yes,Yes,Yes,"Yes,No,I don't know",true,altruism,
1628,9/22/2022 7:50:41,R_1LBvKYfg8hgoloJ,,35 - 44 years,No,White or Caucasian,Bachelor's degree,"$50,000 - $74,999",Female,heterosexual (straight),Georgia,1 (just me!),4+,Less than 5 times per month,Yes,No,Yes,No,No,Moved place of residence,Consent to share,,,,,,,,,,,Yes if I get part of the profit,I don't know,No,I don't know,No,"Yes,No,I don't know",true,control,
1723,9/22/2022 9:02:53,R_1kUFSbSAbc8sEME,,25 - 34 years,No,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS, etc)","$25,000 - $49,999",Male,LGBTQ+,Massachusetts,1 (just me!),1 (just me!),Less than 5 times per month,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,Divorce,,,Decline,,,,Yes,,,,,Yes,Yes,Yes,Yes,Yes,"Yes,No,I don't know",true,bonus-05,
148,9/22/2022 14:29:43,R_21I0n20nXWPxa9s,,25 - 34 years,No,White or Caucasian,Bachelor's degree,"$75,000 - $99,999",Male,heterosexual (straight),New York,2,4+,Less than 5 times per month,No,No,No,No,No,,,,Decline,,,,No,No,Yes,,,No,No,No,No,No,"Yes,No,I don't know",true,bonus-05,
483,9/22/2022 14:30:23,R_2EBkC3HUQpHkFG4,,55 - 64 years,No,White or Caucasian,Bachelor's degree,"$75,000 - $99,999",Female,heterosexual (straight),Missouri,3,3,More than 10 times per month,No,No,Yes,No,No,,,,,,Consent to share  (receive $0.50 bonus),,,,,,,No,No,No,No,No,"Yes,No,I don't know",true,bonus-50,
321,9/22/2022 15:33:50,R_25ZREzNXsjQzRBK,,35 - 44 years,No,White or Caucasian,High school diploma or GED,"$25,000 - $49,999",Male,heterosexual (straight),Utah,1 (just me!),3,More than 10 times per month,Yes,No,No,Yes,No,,Consent to share,,,,,,,,,,,Yes if I get part of the profit,Yes if consumers get part of the profit,I don't know,I don't know,Yes,"Yes,No,I don't know",false,control,
324,9/22/2022 16:18:02,R_1OK73VTU4KtCpkI,,35 - 44 years,No,White or Caucasian,High school diploma or GED,"$50,000 - $74,999",Female,heterosexual (straight),North Carolina,1 (just me!),4+,5 - 10 times per month,Yes,No,No,No,No,Had a child,,,Consent to share (receive $0.05 bonus),,,,,,,,,No,No,No,No,Yes,"Yes,No,I don't know",false,bonus-05,
1205,9/23/2022 8:41:21,R_xluK0w2HLZhsiid,,35 - 44 years,No,Black or African American,High school diploma or GED,"$50,000 - $74,999",Male,heterosexual (straight),Arkansas,1 (just me!),3,Less than 5 times per month,No,No,No,No,No,,,,,,Consent to share  (receive $0.50 bonus),,,,,,,Yes if I get part of the profit,Yes if consumers get part of the profit,No,I don't know,Yes,"Yes,No,I don't know",true,bonus-50,
266,9/29/2022 15:46:07,R_11Y3ZtLQrhccXC7,,45 - 54 years,No,White or Caucasian,Bachelor's degree,"$75,000 - $99,999",Male,heterosexual (straight),Arizona,1 (just me!),2,Less than 5 times per month,No,No,No,No,No,Lost a job ,,Consent to share,,,,,,,,,,No,No,No,No,No,"Yes,No,I don't know",true,altruism,
336,9/29/2022 20:24:00,R_1LiA2fJVDUQ4IXM,,45 - 54 years,No,Asian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS, etc)","$100,000 - $149,999",Male,heterosexual (straight),Minnesota,1 (just me!),3,Less than 5 times per month,No,No,Yes,No,No,,,Consent to share,,,,,,,,,,I don't know,Yes,No,Yes,Yes,"Yes,No,I don't know",false,altruism,
856,10/29/2022 11:51:41,R_2bIczstyl0SzIN4,,25 - 34 years,No,Asian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS, etc)","$150,000 or more",Male,heterosexual (straight),California,3,3,More than 10 times per month,Yes,No,Prefer not to say,Yes,No,,,Consent to share,,,,,,,,,,Yes if I get part of the profit,No,Yes,Yes,Yes,"Yes,No,I don't know",true,altruism,
2535,10/29/2022 12:30:07,R_2bOT9I7PH69jROd,,35 - 44 years,No,White or Caucasian,Some high school or less,"$25,000 - $49,999",Male,heterosexual (straight),Washington,1 (just me!),1 (just me!),Less than 5 times per month,Yes,No,Yes,No,No,Moved place of residence,,Consent to share,,,,,,,,,,No,No,Yes,Yes,Yes,"Yes,No,I don't know",true,altruism,
317,10/31/2022 21:08:03,R_3EF584Zf9pAwkir,,25 - 34 years,No,Black or African American,Bachelor's degree,"Less than $25,000",Male,heterosexual (straight),Texas,1 (just me!),3,5 - 10 times per month,No,No,No,No,No,,,,,Consent to share (receive $0.20 bonus),,,,,,,,Yes,No,No,No,No,"Yes,No,I don't know",true,bonus-20,
404,11/8/2022 9:38:23,R_3siDFskpnvXwLuH,Yes,35 - 44 years,No,White or Caucasian,Bachelor's degree,"$50,000 - $74,999",Female,heterosexual (straight),Oklahoma,1 (just me!),1 (just me!),Less than 5 times per month,No,No,No,No,No,Moved place of residence,,,,Consent to share (receive $0.20 bonus),,,,,,,,No,No,No,No,No,"Yes,No,I don't know",false,bonus-20,
